OFFICIAL ELECTION RESULTS
Bucks
nameplace,Contest Name,Candidate Name,Votes,Voter Turnout
"Buckingham Twp Upper #2","Presidential Electors (Rep)","Nikki R. Haley","105","37.78%"
"Buckingham Twp Upper #2","Presidential Electors (Rep)","Donald J. Trump","299","37.78%"
"Buckingham Twp Upper #2","Presidential Electors (Rep)","Write-in","5","37.78%"
"Buckingham Twp Upper #2","United States Senator (Dem)","Robert P. Casey, Jr.","339","37.78%"
"Buckingham Twp Upper #2","United States Senator (Dem)","Write-in","2","37.78%"
"Buckingham Twp Upper #2","United States Senator (Rep)","Dave McCormick","377","37.78%"
"Buckingham Twp Upper #2","United States Senator (Rep)","Write-in","7","37.78%"
"Buckingham Twp Upper #2","Attorney General (Dem)","Jack Stollsteimer","28","37.78%"
"Buckingham Twp Upper #2","Attorney General (Dem)","Eugene DePasquale","20","37.78%"
"Buckingham Twp Upper #2","Attorney General (Dem)","Joe Khan","248","37.78%"
"Buckingham Twp Upper #2","Attorney General (Dem)","Keir Bradford-Grey","21","37.78%"
"Buckingham Twp Upper #2","Attorney General (Dem)","Jared Solomon","22","37.78%"
"Buckingham Twp Upper #2","Attorney General (Dem)","Write-in","0","37.78%"
"Buckingham Twp Upper #2","Attorney General (Rep)","Dave Sunday","281","37.78%"
"Buckingham Twp Upper #2","Attorney General (Rep)","Craig Williams","100","37.78%"
"Buckingham Twp Upper #2","Attorney General (Rep)","Write-in","4","37.78%"
"Buckingham Twp Upper #2","Auditor General (Dem)","Malcolm Kenyatta","244","37.78%"
"Buckingham Twp Upper #2","Auditor General (Dem)","Mark Pinsley","88","37.78%"
"Buckingham Twp Upper #2","Auditor General (Dem)","Write-in","0","37.78%"
"Buckingham Twp Upper #2","Auditor General (Rep)","Tim DeFoor","370","37.78%"
"Buckingham Twp Upper #2","Auditor General (Rep)","Write-in","3","37.78%"
"Buckingham Twp Upper #2","State Treasurer (Dem)","Ryan Bizzarro","209","37.78%"
"Buckingham Twp Upper #2","State Treasurer (Dem)","Erin McClelland","117","37.78%"
"Buckingham Twp Upper #2","State Treasurer (Dem)","Write-in","0","37.78%"
"Buckingham Twp Upper #2","State Treasurer (Rep)","Stacy Garrity","368","37.78%"
"Buckingham Twp Upper #2","State Treasurer (Rep)","Write-in","4","37.78%"
"Buckingham Twp Upper #2","Representative in Congress (Dem)","Ashley Ehasz","342","37.78%"
"Buckingham Twp Upper #2","Representative in Congress (Dem)","Write-in","1","37.78%"
"Buckingham Twp Upper #2","Representative in Congress (Rep)","Brian Fitzpatrick","286","37.78%"
"Buckingham Twp Upper #2","Representative in Congress (Rep)","Mark Houck","131","37.78%"
"Buckingham Twp Upper #2","Representative in Congress (Rep)","Write-in","1","37.78%"
"Buckingham Twp Upper #2","Representative in the General Assembly 29th (Dem)","Tim Brennan","345","37.78%"
"Buckingham Twp Upper #2","Representative in the General Assembly 29th (Dem)","Write-in","0","37.78%"
"Buckingham Twp Upper #2","Representative in the General Assembly 29th (Rep)","Steve Mekanik","384","37.78%"
"Buckingham Twp Upper #2","Representative in the General Assembly 29th (Rep)","Write-in","4","37.78%"
"Buckingham Twp Upper #2","Delegate to the Democratic National Convention (Dem)","Arthur Steinberg","292","37.78%"
"Buckingham Twp Upper #2","Delegate to the Democratic National Convention (Dem)","Diane M. Ellis-Marseglia","309","37.78%"
"Buckingham Twp Upper #2","Delegate to the Democratic National Convention (Dem)","Eleanor Breslin","305","37.78%"
"Buckingham Twp Upper #2","Delegate to the Democratic National Convention (Dem)","Steven Santarsiero","304","37.78%"
"Buckingham Twp Upper #2","Delegate to the Democratic National Convention (Dem)","Yota Palli","292","37.78%"
"Buckingham Twp Upper #2","Delegate to the Democratic National Convention (Dem)","Charles Quann","290","37.78%"
"Buckingham Twp Upper #2","Delegate to the Democratic National Convention (Dem)","Write-in","2","37.78%"
"Buckingham Twp Upper #2","Delegate to the Democratic National Convention (Dem)","Write-in","1","37.78%"
"Buckingham Twp Upper #2","Delegate to the Democratic National Convention (Dem)","Write-in","1","37.78%"
"Buckingham Twp Upper #2","Delegate to the Democratic National Convention (Dem)","Write-in","1","37.78%"
"Buckingham Twp Upper #2","Delegate to the Democratic National Convention (Dem)","Write-in","0","37.78%"
"Buckingham Twp Upper #2","Delegate to the Democratic National Convention (Dem)","Write-in","0","37.78%"
"Buckingham Twp Upper #2","Delegate to the Republican National Convention  (Rep)","Marie Miller","99","37.78%"
"Buckingham Twp Upper #2","Delegate to the Republican National Convention  (Rep)","Ellen Cox","235","37.78%"
"Buckingham Twp Upper #2","Delegate to the Republican National Convention  (Rep)","Liz Diehl","104","37.78%"
"Buckingham Twp Upper #2","Delegate to the Republican National Convention  (Rep)","Jim Worthington","300","37.78%"
"Buckingham Twp Upper #2","Delegate to the Republican National Convention  (Rep)","David A. Christian","253","37.78%"
"Buckingham Twp Upper #2","Delegate to the Republican National Convention  (Rep)","Write-in","0","37.78%"
"Buckingham Twp Upper #2","Delegate to the Republican National Convention  (Rep)","Write-in","0","37.78%"
"Buckingham Twp Upper #2","Delegate to the Republican National Convention  (Rep)","Write-in","0","37.78%"
"Buckingham Twp Upper #2","Alternate Delegate to the Republican National Convention  (Rep)","Mike Domanico","117","37.78%"
"Buckingham Twp Upper #2","Alternate Delegate to the Republican National Convention  (Rep)","Vanessa Maurer","211","37.78%"
"Buckingham Twp Upper #2","Alternate Delegate to the Republican National Convention  (Rep)","Kathie Doyle","256","37.78%"
"Buckingham Twp Upper #2","Alternate Delegate to the Republican National Convention  (Rep)","Khalif M. Williams, Sr.","45","37.78%"
"Buckingham Twp Upper #2","Alternate Delegate to the Republican National Convention  (Rep)","Ron Arooj","42","37.78%"
"Buckingham Twp Upper #2","Alternate Delegate to the Republican National Convention  (Rep)","Andrea Winstanley","55","37.78%"
"Buckingham Twp Upper #2","Alternate Delegate to the Republican National Convention  (Rep)","Sharon Diasio","193","37.78%"
"Buckingham Twp Upper #2","Alternate Delegate to the Republican National Convention  (Rep)","Write-in","2","37.78%"
"Buckingham Twp Upper #2","Alternate Delegate to the Republican National Convention  (Rep)","Write-in","1","37.78%"
"Buckingham Twp Upper #2","Alternate Delegate to the Republican National Convention  (Rep)","Write-in","1","37.78%"
"Buckingham Twp Upper #2","Buckingham Twp Upper 2 Committeeman (Rep)","David Fisher","354","37.78%"
"Buckingham Twp Upper #2","Buckingham Twp Upper 2 Committeeman (Rep)","Write-in","2","37.78%"
"Buckingham Twp Upper #2","Buckingham Twp Upper 2 Committeewoman (Rep)","Leslie Watson","359","37.78%"
"Buckingham Twp Upper #2","Buckingham Twp Upper 2 Committeewoman (Rep)","Write-in","0","37.78%"
"Buckingham Twp Upper #3","Presidential Electors  (Dem)","Joseph R. Biden, Jr.","187","36.42%"
"Buckingham Twp Upper #3","Presidential Electors  (Dem)","Dean Phillips","7","36.42%"
"Buckingham Twp Upper #3","Presidential Electors  (Dem)","Write-in","5","36.42%"
"Buckingham Twp Upper #3","Presidential Electors (Rep)","Nikki R. Haley","61","36.42%"
"Buckingham Twp Upper #3","Presidential Electors (Rep)","Donald J. Trump","197","36.42%"
"Buckingham Twp Upper #3","Presidential Electors (Rep)","Write-in","5","36.42%"
"Buckingham Twp Upper #3","United States Senator (Dem)","Robert P. Casey, Jr.","195","36.42%"
"Buckingham Twp Upper #3","United States Senator (Dem)","Write-in","1","36.42%"
"Buckingham Twp Upper #3","United States Senator (Rep)","Dave McCormick","236","36.42%"
"Buckingham Twp Upper #3","United States Senator (Rep)","Write-in","4","36.42%"
"Buckingham Twp Upper #3","Attorney General (Dem)","Jack Stollsteimer","24","36.42%"
"Buckingham Twp Upper #3","Attorney General (Dem)","Eugene DePasquale","12","36.42%"
"Buckingham Twp Upper #3","Attorney General (Dem)","Joe Khan","134","36.42%"
"Buckingham Twp Upper #3","Attorney General (Dem)","Keir Bradford-Grey","9","36.42%"
"Buckingham Twp Upper #3","Attorney General (Dem)","Jared Solomon","17","36.42%"
"Buckingham Twp Upper #3","Attorney General (Dem)","Write-in","0","36.42%"
"Buckingham Twp Upper #3","Attorney General (Rep)","Dave Sunday","160","36.42%"
"Buckingham Twp Upper #3","Attorney General (Rep)","Craig Williams","73","36.42%"
"Buckingham Twp Upper #3","Attorney General (Rep)","Write-in","4","36.42%"
"Buckingham Twp Upper #3","Auditor General (Dem)","Malcolm Kenyatta","143","36.42%"
"Buckingham Twp Upper #3","Auditor General (Dem)","Mark Pinsley","47","36.42%"
"Buckingham Twp Upper #3","Auditor General (Dem)","Write-in","0","36.42%"
"Buckingham Twp Upper #3","Auditor General (Rep)","Tim DeFoor","229","36.42%"
"Buckingham Twp Upper #3","Auditor General (Rep)","Write-in","2","36.42%"
"Buckingham Twp Upper #3","State Treasurer (Dem)","Ryan Bizzarro","96","36.42%"
"Buckingham Twp Upper #3","State Treasurer (Dem)","Erin McClelland","93","36.42%"
"Buckingham Twp Upper #3","State Treasurer (Dem)","Write-in","0","36.42%"
"Buckingham Twp Upper #3","State Treasurer (Rep)","Stacy Garrity","224","36.42%"
"Buckingham Twp Upper #3","State Treasurer (Rep)","Write-in","3","36.42%"
"Buckingham Twp Upper #3","Representative in Congress (Dem)","Ashley Ehasz","196","36.42%"
"Buckingham Twp Upper #3","Representative in Congress (Dem)","Write-in","1","36.42%"
"Buckingham Twp Upper #3","Representative in Congress (Rep)","Brian Fitzpatrick","176","36.42%"
"Buckingham Twp Upper #3","Representative in Congress (Rep)","Mark Houck","89","36.42%"
"Buckingham Twp Upper #3","Representative in Congress (Rep)","Write-in","0","36.42%"
"Buckingham Twp Upper #3","Representative in the General Assembly 29th (Dem)","Tim Brennan","196","36.42%"
"Buckingham Twp Upper #3","Representative in the General Assembly 29th (Dem)","Write-in","1","36.42%"
"Buckingham Twp Upper #3","Representative in the General Assembly 29th (Rep)","Steve Mekanik","243","36.42%"
"Buckingham Twp Upper #3","Representative in the General Assembly 29th (Rep)","Write-in","0","36.42%"
"Buckingham Twp Upper #3","Delegate to the Democratic National Convention (Dem)","Arthur Steinberg","164","36.42%"
"Buckingham Twp Upper #3","Delegate to the Democratic National Convention (Dem)","Diane M. Ellis-Marseglia","176","36.42%"
"Buckingham Twp Upper #3","Delegate to the Democratic National Convention (Dem)","Eleanor Breslin","163","36.42%"
"Buckingham Twp Upper #3","Delegate to the Democratic National Convention (Dem)","Steven Santarsiero","182","36.42%"
"Buckingham Twp Upper #3","Delegate to the Democratic National Convention (Dem)","Yota Palli","166","36.42%"
"Buckingham Twp Upper #3","Delegate to the Democratic National Convention (Dem)","Charles Quann","160","36.42%"
"Buckingham Twp Upper #3","Delegate to the Democratic National Convention (Dem)","Write-in","1","36.42%"
"Buckingham Twp Upper #3","Delegate to the Democratic National Convention (Dem)","Write-in","0","36.42%"
"Buckingham Twp Upper #3","Delegate to the Democratic National Convention (Dem)","Write-in","0","36.42%"
"Buckingham Twp Upper #3","Delegate to the Democratic National Convention (Dem)","Write-in","0","36.42%"
"Buckingham Twp Upper #3","Delegate to the Democratic National Convention (Dem)","Write-in","0","36.42%"
"Buckingham Twp Upper #3","Delegate to the Democratic National Convention (Dem)","Write-in","0","36.42%"
"Buckingham Twp Upper #3","Delegate to the Republican National Convention  (Rep)","Marie Miller","58","36.42%"
"Buckingham Twp Upper #3","Delegate to the Republican National Convention  (Rep)","Ellen Cox","140","36.42%"
"Buckingham Twp Upper #3","Delegate to the Republican National Convention  (Rep)","Liz Diehl","62","36.42%"
"Buckingham Twp Upper #3","Delegate to the Republican National Convention  (Rep)","Jim Worthington","165","36.42%"
"Buckingham Twp Upper #3","Delegate to the Republican National Convention  (Rep)","David A. Christian","136","36.42%"
"Buckingham Twp Upper #3","Delegate to the Republican National Convention  (Rep)","Write-in","6","36.42%"
"Buckingham Twp Upper #3","Delegate to the Republican National Convention  (Rep)","Write-in","0","36.42%"
"Buckingham Twp Upper #3","Delegate to the Republican National Convention  (Rep)","Write-in","0","36.42%"
"Buckingham Twp Upper #3","Alternate Delegate to the Republican National Convention  (Rep)","Mike Domanico","63","36.42%"
"Buckingham Twp Upper #3","Alternate Delegate to the Republican National Convention  (Rep)","Vanessa Maurer","132","36.42%"
"Buckingham Twp Upper #3","Alternate Delegate to the Republican National Convention  (Rep)","Kathie Doyle","162","36.42%"
"Buckingham Twp Upper #3","Alternate Delegate to the Republican National Convention  (Rep)","Khalif M. Williams, Sr.","13","36.42%"
"Buckingham Twp Upper #3","Alternate Delegate to the Republican National Convention  (Rep)","Ron Arooj","13","36.42%"
"Buckingham Twp Upper #3","Alternate Delegate to the Republican National Convention  (Rep)","Andrea Winstanley","30","36.42%"
"Buckingham Twp Upper #3","Alternate Delegate to the Republican National Convention  (Rep)","Sharon Diasio","116","36.42%"
"Buckingham Twp Upper #3","Alternate Delegate to the Republican National Convention  (Rep)","Write-in","6","36.42%"
"Buckingham Twp Upper #3","Alternate Delegate to the Republican National Convention  (Rep)","Write-in","2","36.42%"
"Buckingham Twp Upper #3","Alternate Delegate to the Republican National Convention  (Rep)","Write-in","1","36.42%"
"Buckingham Twp Upper #3","Buckingham Twp Upper 3 Committeeman (Rep)","Sam A. Losorelli","212","36.42%"
"Buckingham Twp Upper #3","Buckingham Twp Upper 3 Committeeman (Rep)","Write-in","5","36.42%"
"Buckingham Twp Upper #3","Buckingham Twp Upper 3 Committeewoman (Rep)","Write-in","102","36.42%"
"Buckingham Twp Upper #4","Presidential Electors  (Dem)","Joseph R. Biden, Jr.","223","34.60%"
"Buckingham Twp Upper #4","Presidential Electors  (Dem)","Dean Phillips","9","34.60%"
"Buckingham Twp Upper #4","Presidential Electors  (Dem)","Write-in","5","34.60%"
"Buckingham Twp Upper #4","Presidential Electors (Rep)","Nikki R. Haley","55","34.60%"
"Buckingham Twp Upper #4","Presidential Electors (Rep)","Donald J. Trump","230","34.60%"
"Buckingham Twp Upper #4","Presidential Electors (Rep)","Write-in","7","34.60%"
"Buckingham Twp Upper #4","United States Senator (Dem)","Robert P. Casey, Jr.","229","34.60%"
"Buckingham Twp Upper #4","United States Senator (Dem)","Write-in","4","34.60%"
"Buckingham Twp Upper #4","United States Senator (Rep)","Dave McCormick","274","34.60%"
"Buckingham Twp Upper #4","United States Senator (Rep)","Write-in","3","34.60%"
"Buckingham Twp Upper #4","Attorney General (Dem)","Jack Stollsteimer","16","34.60%"
"Buckingham Twp Upper #4","Attorney General (Dem)","Eugene DePasquale","7","34.60%"
"Buckingham Twp Upper #4","Attorney General (Dem)","Joe Khan","187","34.60%"
"Buckingham Twp Upper #4","Attorney General (Dem)","Keir Bradford-Grey","14","34.60%"
"Buckingham Twp Upper #4","Attorney General (Dem)","Jared Solomon","12","34.60%"
"Buckingham Twp Upper #4","Attorney General (Dem)","Write-in","2","34.60%"
"Buckingham Twp Upper #4","Attorney General (Rep)","Dave Sunday","177","34.60%"
"Buckingham Twp Upper #4","Attorney General (Rep)","Craig Williams","89","34.60%"
"Buckingham Twp Upper #4","Attorney General (Rep)","Write-in","1","34.60%"
"Buckingham Twp Upper #4","Auditor General (Dem)","Malcolm Kenyatta","166","34.60%"
"Buckingham Twp Upper #4","Auditor General (Dem)","Mark Pinsley","62","34.60%"
"Buckingham Twp Upper #4","Auditor General (Dem)","Write-in","3","34.60%"
"Buckingham Twp Upper #4","Auditor General (Rep)","Tim DeFoor","269","34.60%"
"Buckingham Twp Upper #4","Auditor General (Rep)","Write-in","1","34.60%"
"Buckingham Twp Upper #4","State Treasurer (Dem)","Ryan Bizzarro","134","34.60%"
"Buckingham Twp Upper #4","State Treasurer (Dem)","Erin McClelland","92","34.60%"
"Buckingham Twp Upper #4","State Treasurer (Dem)","Write-in","2","34.60%"
"Buckingham Twp Upper #4","State Treasurer (Rep)","Stacy Garrity","267","34.60%"
"Buckingham Twp Upper #4","State Treasurer (Rep)","Write-in","2","34.60%"
"Buckingham Twp Upper #4","Representative in Congress (Dem)","Ashley Ehasz","231","34.60%"
"Buckingham Twp Upper #4","Representative in Congress (Dem)","Write-in","2","34.60%"
"Buckingham Twp Upper #4","Representative in Congress (Rep)","Brian Fitzpatrick","190","34.60%"
"Buckingham Twp Upper #4","Representative in Congress (Rep)","Mark Houck","101","34.60%"
"Buckingham Twp Upper #4","Representative in Congress (Rep)","Write-in","3","34.60%"
"Buckingham Twp Upper #4","Representative in the General Assembly 29th (Dem)","Tim Brennan","232","34.60%"
"Buckingham Twp Upper #4","Representative in the General Assembly 29th (Dem)","Write-in","2","34.60%"
"Buckingham Twp Upper #4","Representative in the General Assembly 29th (Rep)","Steve Mekanik","275","34.60%"
"Buckingham Twp Upper #4","Representative in the General Assembly 29th (Rep)","Write-in","2","34.60%"
"Buckingham Twp Upper #4","Delegate to the Democratic National Convention (Dem)","Arthur Steinberg","199","34.60%"
"Buckingham Twp Upper #4","Delegate to the Democratic National Convention (Dem)","Diane M. Ellis-Marseglia","214","34.60%"
"Buckingham Twp Upper #4","Delegate to the Democratic National Convention (Dem)","Eleanor Breslin","205","34.60%"
"Buckingham Twp Upper #4","Delegate to the Democratic National Convention (Dem)","Steven Santarsiero","211","34.60%"
"Buckingham Twp Upper #4","Delegate to the Democratic National Convention (Dem)","Yota Palli","193","34.60%"
"Buckingham Twp Upper #4","Delegate to the Democratic National Convention (Dem)","Charles Quann","191","34.60%"
"Buckingham Twp Upper #4","Delegate to the Democratic National Convention (Dem)","Write-in","2","34.60%"
"Buckingham Twp Upper #4","Delegate to the Democratic National Convention (Dem)","Write-in","0","34.60%"
"Buckingham Twp Upper #4","Delegate to the Democratic National Convention (Dem)","Write-in","0","34.60%"
"Buckingham Twp Upper #4","Delegate to the Democratic National Convention (Dem)","Write-in","0","34.60%"
"Buckingham Twp Upper #4","Delegate to the Democratic National Convention (Dem)","Write-in","0","34.60%"
"Buckingham Twp Upper #4","Delegate to the Democratic National Convention (Dem)","Write-in","0","34.60%"
"Buckingham Twp Upper #4","Delegate to the Republican National Convention  (Rep)","Marie Miller","80","34.60%"
"Buckingham Twp Upper #4","Delegate to the Republican National Convention  (Rep)","Ellen Cox","129","34.60%"
"Buckingham Twp Upper #4","Delegate to the Republican National Convention  (Rep)","Liz Diehl","93","34.60%"
"Buckingham Twp Upper #4","Delegate to the Republican National Convention  (Rep)","Jim Worthington","196","34.60%"
"Buckingham Twp Upper #4","Delegate to the Republican National Convention  (Rep)","David A. Christian","155","34.60%"
"Buckingham Twp Upper #4","Delegate to the Republican National Convention  (Rep)","Write-in","4","34.60%"
"Buckingham Twp Upper #4","Delegate to the Republican National Convention  (Rep)","Write-in","0","34.60%"
"Buckingham Twp Upper #4","Delegate to the Republican National Convention  (Rep)","Write-in","0","34.60%"
"Buckingham Twp Upper #4","Alternate Delegate to the Republican National Convention  (Rep)","Mike Domanico","114","34.60%"
"Buckingham Twp Upper #4","Alternate Delegate to the Republican National Convention  (Rep)","Vanessa Maurer","122","34.60%"
"Buckingham Twp Upper #4","Alternate Delegate to the Republican National Convention  (Rep)","Kathie Doyle","186","34.60%"
"Buckingham Twp Upper #4","Alternate Delegate to the Republican National Convention  (Rep)","Khalif M. Williams, Sr.","19","34.60%"
"Buckingham Twp Upper #4","Alternate Delegate to the Republican National Convention  (Rep)","Ron Arooj","24","34.60%"
"Buckingham Twp Upper #4","Alternate Delegate to the Republican National Convention  (Rep)","Andrea Winstanley","38","34.60%"
"Buckingham Twp Upper #4","Alternate Delegate to the Republican National Convention  (Rep)","Sharon Diasio","121","34.60%"
"Buckingham Twp Upper #4","Alternate Delegate to the Republican National Convention  (Rep)","Write-in","2","34.60%"
"Buckingham Twp Upper #4","Alternate Delegate to the Republican National Convention  (Rep)","Write-in","0","34.60%"
"Buckingham Twp Upper #4","Alternate Delegate to the Republican National Convention  (Rep)","Write-in","0","34.60%"
"Buckingham Twp Upper #4","Buckingham Twp Upper 4 Committeeman (Rep)","Tom Ciacciarelli","259","34.60%"
"Buckingham Twp Upper #4","Buckingham Twp Upper 4 Committeeman (Rep)","Write-in","3","34.60%"
"Buckingham Twp Upper #4","Buckingham Twp Upper 4 Committeewoman (Rep)","Nancy Ciacciarelli","261","34.60%"
"Buckingham Twp Upper #4","Buckingham Twp Upper 4 Committeewoman (Rep)","Write-in","2","34.60%"
"Chalfont Boro","Presidential Electors  (Dem)","Joseph R. Biden, Jr.","447","34.10%"
"Chalfont Boro","Presidential Electors  (Dem)","Dean Phillips","26","34.10%"
"Chalfont Boro","Presidential Electors  (Dem)","Write-in","21","34.10%"
"Chalfont Boro","Presidential Electors (Rep)","Nikki R. Haley","91","34.10%"
"Chalfont Boro","Presidential Electors (Rep)","Donald J. Trump","335","34.10%"
"Chalfont Boro","Presidential Electors (Rep)","Write-in","8","34.10%"
"Chalfont Boro","United States Senator (Dem)","Robert P. Casey, Jr.","472","34.10%"
"Chalfont Boro","United States Senator (Dem)","Write-in","10","34.10%"
"Chalfont Boro","United States Senator (Rep)","Dave McCormick","415","34.10%"
"Chalfont Boro","United States Senator (Rep)","Write-in","7","34.10%"
"Chalfont Boro","Attorney General (Dem)","Jack Stollsteimer","74","34.10%"
"Chalfont Boro","Attorney General (Dem)","Eugene DePasquale","37","34.10%"
"Chalfont Boro","Attorney General (Dem)","Joe Khan","289","34.10%"
"Chalfont Boro","Attorney General (Dem)","Keir Bradford-Grey","36","34.10%"
"Chalfont Boro","Attorney General (Dem)","Jared Solomon","47","34.10%"
"Chalfont Boro","Attorney General (Dem)","Write-in","3","34.10%"
"Chalfont Boro","Attorney General (Rep)","Dave Sunday","283","34.10%"
"Chalfont Boro","Attorney General (Rep)","Craig Williams","131","34.10%"
"Chalfont Boro","Attorney General (Rep)","Write-in","4","34.10%"
"Chalfont Boro","Auditor General (Dem)","Malcolm Kenyatta","310","34.10%"
"Chalfont Boro","Auditor General (Dem)","Mark Pinsley","153","34.10%"
"Chalfont Boro","Auditor General (Dem)","Write-in","4","34.10%"
"Chalfont Boro","Auditor General (Rep)","Tim DeFoor","404","34.10%"
"Chalfont Boro","Auditor General (Rep)","Write-in","2","34.10%"
"Chalfont Boro","State Treasurer (Dem)","Ryan Bizzarro","208","34.10%"
"Chalfont Boro","State Treasurer (Dem)","Erin McClelland","246","34.10%"
"Chalfont Boro","State Treasurer (Dem)","Write-in","4","34.10%"
"Chalfont Boro","State Treasurer (Rep)","Stacy Garrity","404","34.10%"
"Chalfont Boro","State Treasurer (Rep)","Write-in","2","34.10%"
"Chalfont Boro","Representative in Congress (Dem)","Ashley Ehasz","478","34.10%"
"Chalfont Boro","Representative in Congress (Dem)","Write-in","5","34.10%"
"Chalfont Boro","Representative in Congress (Rep)","Brian Fitzpatrick","272","34.10%"
"Chalfont Boro","Representative in Congress (Rep)","Mark Houck","169","34.10%"
"Chalfont Boro","Representative in Congress (Rep)","Write-in","1","34.10%"
"Chalfont Boro","Representative in the General Assembly 29th (Dem)","Tim Brennan","476","34.10%"
"Chalfont Boro","Representative in the General Assembly 29th (Dem)","Write-in","5","34.10%"
"Chalfont Boro","Representative in the General Assembly 29th (Rep)","Steve Mekanik","406","34.10%"
"Chalfont Boro","Representative in the General Assembly 29th (Rep)","Write-in","1","34.10%"
"Chalfont Boro","Delegate to the Democratic National Convention (Dem)","Arthur Steinberg","375","34.10%"
"Chalfont Boro","Delegate to the Democratic National Convention (Dem)","Diane M. Ellis-Marseglia","410","34.10%"
"Chalfont Boro","Delegate to the Democratic National Convention (Dem)","Eleanor Breslin","396","34.10%"
"Chalfont Boro","Delegate to the Democratic National Convention (Dem)","Steven Santarsiero","411","34.10%"
"Chalfont Boro","Delegate to the Democratic National Convention (Dem)","Yota Palli","369","34.10%"
"Chalfont Boro","Delegate to the Democratic National Convention (Dem)","Charles Quann","369","34.10%"
"Chalfont Boro","Delegate to the Democratic National Convention (Dem)","Write-in","16","34.10%"
"Chalfont Boro","Delegate to the Democratic National Convention (Dem)","Write-in","9","34.10%"
"Chalfont Boro","Delegate to the Democratic National Convention (Dem)","Write-in","8","34.10%"
"Chalfont Boro","Delegate to the Democratic National Convention (Dem)","Write-in","7","34.10%"
"Chalfont Boro","Delegate to the Democratic National Convention (Dem)","Write-in","7","34.10%"
"Chalfont Boro","Delegate to the Democratic National Convention (Dem)","Write-in","7","34.10%"
"Chalfont Boro","Delegate to the Republican National Convention  (Rep)","Marie Miller","167","34.10%"
"Chalfont Boro","Delegate to the Republican National Convention  (Rep)","Ellen Cox","208","34.10%"
"Chalfont Boro","Delegate to the Republican National Convention  (Rep)","Liz Diehl","142","34.10%"
"Chalfont Boro","Delegate to the Republican National Convention  (Rep)","Jim Worthington","326","34.10%"
"Chalfont Boro","Delegate to the Republican National Convention  (Rep)","David A. Christian","247","34.10%"
"Chalfont Boro","Delegate to the Republican National Convention  (Rep)","Write-in","4","34.10%"
"Chalfont Boro","Delegate to the Republican National Convention  (Rep)","Write-in","1","34.10%"
"Chalfont Boro","Delegate to the Republican National Convention  (Rep)","Write-in","1","34.10%"
"Chalfont Boro","Alternate Delegate to the Republican National Convention  (Rep)","Mike Domanico","181","34.10%"
"Chalfont Boro","Alternate Delegate to the Republican National Convention  (Rep)","Vanessa Maurer","250","34.10%"
"Chalfont Boro","Alternate Delegate to the Republican National Convention  (Rep)","Kathie Doyle","259","34.10%"
"Chalfont Boro","Alternate Delegate to the Republican National Convention  (Rep)","Khalif M. Williams, Sr.","48","34.10%"
"Chalfont Boro","Alternate Delegate to the Republican National Convention  (Rep)","Ron Arooj","41","34.10%"
"Chalfont Boro","Alternate Delegate to the Republican National Convention  (Rep)","Andrea Winstanley","85","34.10%"
"Chalfont Boro","Alternate Delegate to the Republican National Convention  (Rep)","Sharon Diasio","199","34.10%"
"Chalfont Boro","Alternate Delegate to the Republican National Convention  (Rep)","Write-in","3","34.10%"
"Chalfont Boro","Alternate Delegate to the Republican National Convention  (Rep)","Write-in","1","34.10%"
"Chalfont Boro","Alternate Delegate to the Republican National Convention  (Rep)","Write-in","1","34.10%"
"Chalfont Boro","Chalfont Boro Committeeman (Rep)","Keun Su Lee","382","34.10%"
"Chalfont Boro","Chalfont Boro Committeeman (Rep)","Write-in","7","34.10%"
"Chalfont Boro","Chalfont Boro Committeewoman (Rep)","Jessica D. Briggs","390","34.10%"
"Chalfont Boro","Chalfont Boro Committeewoman (Rep)","Write-in","2","34.10%"
"Doylestown Boro 1st-1st","Presidential Electors  (Dem)","Joseph R. Biden, Jr.","253","43.84%"
"Doylestown Boro 1st-1st","Presidential Electors  (Dem)","Dean Phillips","5","43.84%"
"Doylestown Boro 1st-1st","Presidential Electors  (Dem)","Write-in","5","43.84%"
"Doylestown Boro 1st-1st","Presidential Electors (Rep)","Nikki R. Haley","31","43.84%"
"Doylestown Boro 1st-1st","Presidential Electors (Rep)","Donald J. Trump","92","43.84%"
"Doylestown Boro 1st-1st","Presidential Electors (Rep)","Write-in","4","43.84%"
"Doylestown Boro 1st-1st","United States Senator (Dem)","Robert P. Casey, Jr.","259","43.84%"
"Doylestown Boro 1st-1st","United States Senator (Dem)","Write-in","3","43.84%"
"Doylestown Boro 1st-1st","United States Senator (Rep)","Dave McCormick","116","43.84%"
"Doylestown Boro 1st-1st","United States Senator (Rep)","Write-in","4","43.84%"
"Doylestown Boro 1st-1st","Attorney General (Dem)","Jack Stollsteimer","27","43.84%"
"Doylestown Boro 1st-1st","Attorney General (Dem)","Eugene DePasquale","12","43.84%"
"Doylestown Boro 1st-1st","Attorney General (Dem)","Joe Khan","193","43.84%"
"Doylestown Boro 1st-1st","Attorney General (Dem)","Keir Bradford-Grey","15","43.84%"
"Doylestown Boro 1st-1st","Attorney General (Dem)","Jared Solomon","17","43.84%"
"Doylestown Boro 1st-1st","Attorney General (Dem)","Write-in","0","43.84%"
"Doylestown Boro 1st-1st","Attorney General (Rep)","Dave Sunday","85","43.84%"
